Weight (MT),Installed kWe ISO Rated,Cost (Mil USD)
40,4750,4.75228
40,4750,4.75228
40,4750,3.69556
40,4750,3.69556
61,6263,6.69256
61,6263,6.69256
61,6263,6.69256
20,1210,1.8352
20,1210,1.96692
47,3515,2.47752
61,5500,3.53128
179,15660,9.99296
80,7520,4.91656
80,7520,5.04828
61,5700,4.76856
61,5700,4.69308
246,31300,15.762
246,31300,28.49296
337,25000,21.94396
57,4600,4.958
61,5700,5.3576
80,7520,7.9772
91,9450,9.7754
102,10690,11.2776
171,14000,14.06
39,5670,5.6462
63,7965,7.38224
40,17010,5.5574
40,17010,7.11584
