Diesel Driver Iso rated (HP),Diesel Driver Site rated (kWe),Weight (MT),Cost (Mil USD)
536,400,23,0.68968
711,530,14,0.71336
1522,1135,31,0.9102
1341,1000,22,0.99604
2414,1800,47,1.51996
2000,1491,50,1.6058
376,280,14,0.92796
1341,1000,34,1.4504
2447,1825,58,2.22444
671,500,29,1.49036
2897,2160,58,2.15636
1716,1280,31,1.8574
,200,,1.14404
,500,,1.37936
,1000,,2.03204
,1400,,2.21112
,1800,,2.44052
,300,,1.22988
,800,,1.65464
,1200,,2.09124
121,60,19,1.35864
121,60,19,1.36456
121,60,15,1.40008
