Size (inch),Length (km),Wall Thickness (mm),Co2 Vol (mtpa),Total Cost (Mil USD)
16.00,535.00,14.27,0.50,617.90
12.75,241.00,11.31,0.50,235.23
14.00,294.00,11.91,0.50,326.27
16.00,241.00,14.27,1.00,280.75
18.00,294.00,15.88,1.00,394.21
20.00,535.00,17.48,1.00,839.33
20.00,249.00,17.48,2.00,381.07
22.00,294.00,19.05,2.00,524.73
26.00,535.00,22.23,2.00,1224.70
16.00,732.00,14.27,0.50,852.55
14.00,438.00,11.91,0.50,501.43
14.00,294.00,11.91,0.50,326.27
18.00,438.00,15.88,1.00,605.43
18.00,294.00,15.88,1.00,394.21
20.00,732.00,17.48,1.00,1156.37
24.00,438.00,20.62,2.00,907.64
22.00,294.00,19.05,2.00,524.73
28.00,732.00,23.83,2.00,1880.32
