Length-KM,Dia-Inch,Total Pipeline Cost
51.3,18,60.03
30,16,159.01
17,12,45.78
3,16,14.17
4,16,14.95
3,16,14.16
4,16,14.29
5,16,15.19
22,12,49.2
18,10,39.4
65,10,67.4
80,30,195.5
85,16,160.49
4.9,26,32.94987173
2.1,6,5.732547608
4.9,4,8.901654453
4.8,12,17.43008765
2.1,18,13.61439134
2.3,10,7.017541861
2.3,4,4.293681433
54,24,174.3336152
15,8,27.92120633
15,8,27.92120633
8,15,16.98831972
25,10,49.3159514
8,13.15,47.14371199
8,8,23.67170477
20,7.8,57.69978037
250.1,19,462.5635779
166,24,324.1132
290,28,696.565101
7.2,10,11.5895023
7.2,4.5,7.436597312
18.2,24,118.3062194
20.6,16,74.07225685
5.2,12,34.5496039
8.7,12,34.5496039
9.2,18,73.0623778
5.61,16,43.35276908
5.58,14,58.46964033
3.65,14,30.68043731
3.71,10,31.2558334
5.46,12,42.43731571
3.71,10,29.95243788
3.73,6,31.40579444
1.58,18,25.72465682
1.58,18,25.78692202
3.57,10,58.28793508
28,26.5,218.6163177
13.8,10,34.9884892
5,8,25.77455066
13.7,8,25.71255273
28,12,95.51946011
656.829,25.6,383.1205747
127.45,16.8,56.41993976
122.9511966,21,76.90706627
50.91,12.2,57.42986264
487.3,26,378.1320667
50.1,14.6,44.89119673
32.14,14.8,86.28682547
83.6,15.3,129.0683068
16,35,123.21712
52,10,84.30836478
30,20,111.1725662
0.38,20,1.408185838
30,20,149.071086
9,24,61.80204085
13.7,24,73.85061437
7.1,8,22.23698332
12,24,33.9603244
12,12,33.66567603
21,26,52.98243469
4.5,12,29.30250979
7.5,12,34.32045018
27,24,105.3746901
31.6,15,87.07419664
12,8,46.03854259
44.31,8,182.1986271
49.51,10,203.5805468
5.5,20,71.36571178
80,32,296.4543087
120,32,392.5349324
85,28,756.4878135
43,10,64.6612791
24,12,55.96593743
39,16,76.2208615
9.65,23.81865285,113.8605018
12,12,44.26886362
34.4,8,133.474165
47,15.38,1026.358467
210,24,988.7089536
36,11.89,187.3812062
