Legs,"Water Depth, MSL (m)",Jacket Weight (MT),Topside Weight (MT),No of Conductor (Unit),No of Riser,Total ABEX Base Cost (Mil RM)
8,71,2080,2040,6,1,242.03215
4,86,1112,301,8,1,88.380926
3,53.1,900,1400,8,1,74.46664818
8,61,2063,929,15,4,98.93971318
4,63,1045,817,0,2,56.37444574
4,61,345,296,0,0,49.13028963
4,61,460,944,0,3,54.61076243
4,162,5000,1100,21,8,112.3807688
8,9,323,659,28,8,112.4406889
8,46,807,445,0,4,69.10380161
4,8,100,130,7,7,46.33181357
4,9,91,68,7,8,46.30849617
4,8,91,68,6,5,42.94302173
4,8,100,101,6,4,42.53806969
4,8,100,101,0,15,38.11319791
4,9,72,115,0,7,33.40951335
4,47,198,137,0,4,35.52307744
4,9,129,258,0,2,32.96342762
4,10,73,56,0,1,29.74842577
1,10,60,100,4,1,33.63704039
4,162,5000,1000,8,3,76.7973454
4,52.3,900,1350,18,6,96.1845996
6,52.3,2220,8226,0,0,103.8020655
4,74.4,2550,1360,32,3,126.9622898
8,79.2,5660,10611,32,10,233.4808821
4,74.4,2550,1300,32,4,126.7986606
4,76.2,2987,1500,32,3,127.4872826
4,69.9,2800,1750,32,4,132.6986029
3,69.8,3000,1000,12,3,87.19222118
4,71,2200,1700,16,3,98.50563533
3,68.9,3000,1000,14,3,89.06177781
8,68.7,3450,3450,52,16,204.0970251
8,69.2,4911,13773,0,2,190.7914838
8,71.3,4324,3374,12,5,145.4522647
8,69.2,2253,2776,21,5,135.7690741
4,68.9,3465,4213,12,2,105.6
8,74.7,5011,10765,27,6,258.4
8,68.7,4409,8234,32,6,192.2225499
4,67,4324,3374,18,2,117
1,76.2,1500,1200,3,1,56.36229651
4,75.1,2440,1300,9,1,84.13308916
4,75.6,2440,1300,9,0,80.63156524
4,75.9,2440,1300,9,1,84.14123752
4,61.1,1800,4000,0,2,82.33479395
4,73.3,2440,1157,0,4,73.95745996
4,70.7,1758,784,12,2,85.24915118
4,76.8,2639,4342,12,2,103.3
8,72.2,6118,9400,32,1,218.8663395
4,71,1000,1344,6,1,73.8706021
4,76.6,1410,1379,6,2,76.06006034
4,73.4,2862,1973,0,2,72.15948356
3,53.9,82,19,4,2,36.56335263
4,52.7,180,64,0,8,36.09350748
4,53.3,250,122,0,2,34.0334905
3,75,152,23,,,30.2959083
8,75,749,337,12,2,85.89433574
8,75.9,666,240,15,3,91.58901771
4,74.3712,1442,1052,15,6,90.0619896
4,76.5048,1234,805,12,6,81.66723638
3,74.4,200,53,3,3,37.70252009
3,74.1,200,53,3,4,38.22006151
3,75.3,200,59,3,2,37.25489976
3,75.6,209,53,3,3,37.80953464
3,74.1,204,53,,,30.91762463
4,74.4,281,187,0,6,37.85532881
4,75.6,336,192,0,0,48.80298985
8,66.14,1719,543,15,3,95.96269538
8,66.7,1483,634,9,2,84.39223651
4,63.0936,2200,460,0,2,57.63091354
4,67,440,232,0,1,49.99665515
3,61.9,121,41,2,1,33.36774395
3,62.1792,133,46,6,4,41.83221891
4,23.2,306,627,0,1,47.04786813
4,26.821,317,317,15,3,77.9306958
4,27.735,605,644,12,2,73.99021486
4,28.04,460,872,15,3,80.85281057
4,28.835,495,785,0,3,54.07883578
4,26.821,263,491,0,2,51.32397188
4,29.259,350,537,0,2,51.91476852
4,35,370,400,6,3,62.54234923
4,35,384,364,9,3,67.72408554
4,34.746,471,665,,,50.8722224
4,33.831,408,741,0,1,52.28515113
4,34.5,415.27,661.05,14,3,78.2290879
6,25.297,327,340,6,1,65.58711394
4,27.431,258,255,14,3,58.44608036
6,25.597,348,416,5,3,65.99614827
4,26.821,426,223,2,2,53.87404372
4,24.688,84,280,4,3,39.73894126
4,26.516,828,254,6,2,63.22570358
4,27.735,468,262,0,2,50.58231155
4,24.688,146,103,0,8,34.57942782
4,27.431,153,104,0,1,31.06870093
4,50.6,400,350,21,4,91.52242995
4,45,1070,877,21,2,95.08829752
4,46,1086,943,5,1,65.54016125
3,45,155,153,0,4,32.13279157
6,45,1406,5249,0,4,94.1809217
4,45,437,486,12,1,73.00765108
4,54.3,870,983,,,55.11967904
4,75,1391,1183,,,59.13076121
4,95,3539,970,0,4,59.85171776
4,81 ,3021,1207,6,1,74.72530697
4,79,1400,1500,0,0,60.45222962
4,94,1568,1432,0,1,56.49512391
8,94,2008,6000,,,95.48320076
4,138,5530,1194,0,4,71.09125351
8,138,9990,9586,10,4,179.5588648
4,116,5310,1119,0,4,193.6054157
8,118,8080,10305,9,1,187.3143652
4,72,1450,1600,,,56.24658035
3,39.9,64,18,1,3,31.34805665
3,63,122,12,17,7,62.13062757
6,36.57,516,990,10,2,79.13281094
6,60.65,444,221,8,4,74.1419068
6,32.4,210,201,15,3,62.85385775
4,50.3,1011,1179,15,4,87.7408209
4,15.5448,662,934,4,3,62.329219
4,36.3,197,96,6,2,42.96839447
4,20.4216,341,440,6,1,61.11292606
4,20.4216,1000,1103,0,2,58.46032934
8,61.8744,1406,2000,0,8,81.59432177
4,33.8,212,115,0,8,36.01324473
6,32.6136,985,517,0,5,63.16772065
4,61,253,121,0,3,34.9027059
8,71.6,1056,332,0,6,69.62405974
4,71.6,333,196,0,6,54.63122413
6,46,366,256,12,4,79.63163144
6,47.2,374,256,1,3,59.08375226
3,46,79,19,4,8,39.52597757
4,47.5,198,76,4,4,40.89297936
4,46.6,211,76,4,5,41.48094523
4,45,205,96,4,3,40.4818941
4,44.8,209,95,4,3,40.49543306
4,46.9,237,108,4,3,40.90849341
4,47.5,431,150,0,1,49.67457775
4,46.3,188,160,0,9,37.28985998
4,46.9,227,153,0,1,33.33373347
3,27.4,61,21,1,4,31.47821341
3,29.9,61,21,10,7,56.01034754
6,28.7,203,209,9,5,53.34980795
6,26.2,203,191,9,4,52.67985547
6,30.2,295,191,0,2,36.90985168
4,27.4,134,236,0,8,35.78561895
4,29,117,211,0,1,31.81197381
4,70,241,91,20,4,70.24550728
8,70,1482,856,0,4,64.86980345
8,70,1235,888,0,5,65.02139634
4,72,1980,2676,0,0,64.27568757
4,70,516,308,0,6,51.25852447
4,72,1980,2868,,,65.35144824
4,90.4,5220,1670,12,4,88.78182267
4,129,4885,1627,3,1,74.40564515
8,62.7,3458,8009,32,3,161.6437326
4,63.7,2110,1266,32,3,117.7147377
4,63.7,2110,1163,32,5,117.1094098
8,63.2,1870,3702,0,5,85.72476439
8,63.5,3546.8,5612,48,2,175.9672216
3,64,655,2000,12,7,81.70330099
8,64.31,1869,3503,25,2,118.4538175
3,64.5,468,2000,6,2,70.85764639
3,65.7,681,2200,12,3,82.97393255
4,63.9,2162,1235,32,3,117.7899909
8,63,1812,4073,24,2,119.6799251
4,63,1109,1301,18,6,89.82385208
4,63.9,2162,1235,32,3,117.7899909
4,63.5,2490,118,32,7,112.7618193
8,64.31,2830,3581,24,8,121.3887366
8,64.31,2226,3258,21,5,111.5563916
8,65.84,2738,1880,28,3,117.810077
8,64.31,2538,2545,21,3,109.0703944
4,64.31,2185,1806,24,9,108.0051293
4,68.88,1042,1742,0,11,62.27244709
4,65.3,1800,1668.3,0,0,65.58898147
3,55.3,548,605,12,1,73.08065684
3,55.8,540,574,12,1,72.85921817
4,55,1593,1624,20,1,97.39562055
8,64.2,2586,6000,0,3,97.20817943
8,60,2161,5587,0,1,94.56792971
8,60.4,3234,7140,27,1,147.7088673
3,60,650,570,24,3,92.52291109
8,57,3452,7252,24,1,143.7700932
4,57,1452,1912,0,1,65.27705159
3,64.5,622,557,12,1,73.15747984
4,62.8,3471.32,1739.93,12,1,94.19480393
4,63.9,3690.91,1662.92,12,2,94.84554767
3,64.6,637,565,9,5,68.3143636
4,68,1605,1188,0,11,61.12325983
4,73,3028,3152,32,2,138.5483511
8,73,4037,5083,0,1,96.21258298
4,73,2696,1178,40,2,133.3373994
4,73.9,2490,529,32,5,115.2274453
4,73,2219,1208,40,2,131.1485882
4,73.2,2490,573,32,2,115.4902041
4,72,2769,1725,32,2,123.6785567
4,72,2583,118,12,2,78.27785858
3,72.8,637,527,6,2,61.27355323
3,64.8,468,517,6,1,62.24733356
3,69.4,468,514,6,1,62.22964805
4,56.2,1260,1320,12,0,80.04994099
3,56.3,760,975,6,2,65.65857254
3,54.1,755,980,6,2,65.66341539
4,56.5,780,775,8,1,67.89213334
3,55.5,795,985,6,3,65.88801804
3,56,805,970,6,3,65.84906729
3,56.4,645,465,6,1,62.09968984
4,57.3,1245,1145,9,2,73.99096064
3,64.6,960,1130,5,2,64.23393409
3,53.9,750,370,18,,81.90054309
4,53.4,1705,750,0,,59.03604509
4,55,1240,763,,,56.83316618
4,57,2480,1300,16,,92.57788159
4,55,2700,1756,,,69.87415359
4,56,1660,785,0,,59.02200764
4,54.5,1655,950,,,59.97102009
4,54.5,1655,625,0,,58.05026684
4,52.3,1700,616,8,,71.45282499
3,57.3,575,300,,,50.85730339
4,72,2248,3927,13,0,72.91911805
4,53,1038,4130,,0,75.48212459
3,70,300,800,20,2,85.55567739
4,74,799,567,0,2,53.52450782
4,63.5,800,597,9,0,68.59598992
8,142,14734,26678,18,8,298.1610862
4,40,573,400,4,1,59.52841193
4,37,425,1220,4,2,63.8023642
4,37,425,1220,9,2,71.37422881
4,37,425,610,4,2,60.2366031
4,34.7,405,1175,4,1,62.74316756
4,34.1,447,675,3,1,59.07115791
4,32,755,2572,6,4,75.78514149
4,40,358,1000,4,3,61.49514161
4,40,278,1000,6,4,64.41465681
4,40,360,1000,6,3,64.81367701
4,48.6,526,2350,4,4,70.78738086
4,50,450,1150,0,0,56.19963211
4,34.8,558,780,8,6,68.4993664
4,34.8,700,2670,8,2,79.18782584
4,40.9,2110,1800,8,3,80.68590461
4,30,377,660,2,1,55.58841037
4,40.54,373.4,393.2,6,6,60.46324848
4,39.6,644.2,3527.4,9,5,84.58220801
8,49.07,1209,2848.5,15,0,93.29757286
4,58.4,415,816,9,6,67.81425615
4,18.8,250,780.1,7,3,64.45690249
4,59.5,769,1733,5,2,69.29244086
4,50.17,460,2153,0,1,73.39879094
4,50.9,311,924.5,0,13,53.57988834
4,40.3,281,464.1,6,4,60.4340094
4,29.6,345,983,9,3,68.63794841
4,35.36,309,796,10,4,68.98676686
4,35.8,583,1349,11,8,75.16164463
4,39.4,291,640,10,4,67.98458638
4,37.95,290,1318.8,0,11,55.77075672
3,39.35,178,271.4,0,6,49.79753264
4,89,1293,424,,,55.1848829
4,60,3257,1861,9,2,87.92506723
4,78,1800,1800,9,4,80.30298114
4,77,1700,1700,20,1,97.01261614
8,86,2110,859,0,2,61.77323557
8,87,1922,891,0,0,61.03583373
4,90.4,9241,7097,0,1,134.3322843
8,83,2609,1263,0,4,66.62913489
8,84,2274,1902,0,0,68.69838312
4,105,4035,1630,6,1,85.82800344
4,80.8,1918,1200,4,1,69.45852077
4,85.5,1300,500,2,1,58.90370814
4,81.7,1300,500,2,1,58.90370814
4,72,1328,1405,9,3,76.3673546
1,65,260,210,3,0,54.15815375
1,77.5,119,90,2,0,50.85758515
1,65,417,200,3,4,54.85798881
1,77.5,144,125,4,1,54.4569311
1,77.5,144,125,0,0,35.76272596
1,77.5,144,125,0,0,35.48268749
4,62.5,212,355,4,0,56.0425033
4,62.5,1491,1084,9,4,74.84205439
4,62.5,1382,1133,9,4,74.59357988
3,61.7,1114,558.49,4,3,61.62717147
4,87,3027,730,1,2,67.35806167
4,69.1,1110,790,0,0,54.6178116
4,68.2,1110,810,0,0,54.68841201
4,108,5301,2281,9,0,89.76042265
3,108,1843,919,0,0,55.01750588
4,71,1123,1244,0,1,60.49780672
3,43,560,773,0,3,54.87538775
3,65.9,2162,610,5,2,62.42040549
4,140,4258,1062,2,1,77.72776699
3,64,860,610,6,1,64.00172889
