Legs,Water Depth (m),Jacket Weight (MT),Topside Weight (MT),No of Conductor,No of Riser, Total ABEX Base Cost (Mil RM) 
8,69.5,4494,9558,0,0,146.6373534
8,79,4423,16454,0,0,185.0809649
8,72.7,2610,14505,0,0,189.0547323
8,87,11000,14500,6,1,182.1692745
8,59.1,6000,14200,12,1,214.7152708
8,108,11143,23500,10,1,245.9093205
8,108,17462,29387,0,1,309.9937318
8,65.3,5375.14,18914,0,2,176.0644535
8,77.4192,2896,4450,3,3,117.7062117
8,93,7500,4931,0,4,118.0363545
8,75.1,2440,4260,0,5,124.9896588
8,61.2,4000,8800,0,7,157.384483
8,56.3,8400,22191,0,10,208.2064655
8,61,1148,901,0,11,93.97145479
6,70,500,1200,6,5,79.05841379
6,9,318,782,6,10,96.30457406
4,87,931,877,0,0,56.09177551
4,75.1,2440,1250,0,0,66.24936585
4,76.1,1391,1834,0,0,82.21376204
4,46.3,339,578,0,1,51.41282923
4,84,1078,1134,0,1,58.3166176
4,76.8096,912,2072,0,1,61.730245
4,79,1880,2320,1,1,80.15837761
4,61.8744,1406,2191,0,1,82.11173563
4,71,1130,3000,0,1,82.31542318
4,45,500,3203,0,2,67.46083876
4,38.7,1207,4116,0,2,76.09397426
4,87,1100,2400,0,2,76.23199354
4,85,1100,2700,0,2,77.53828954
4,63.5,825,2800,9,2,91.89974479
4,32,550,1300,8,3,70.79476261
4,37.65,880,3215,0,4,79.33255262
4,70,567,877,0,5,52.93680982
4,9,189,939,0,6,56.71786947
4,63.3984,1265,1760,0,8,85.35633276
4,46.6,220,287,0,9,56.35628802
4,30.7848,360,191,0,9,74.73785126
4,25.062,1010,900,0,9,79.95376658
4,27.735,308,1412,0,9,80.74270112
3,70,550.23,540.23,6,1,76.7572064
