Design Hydrocarbon Throughput (kboed),Total Platform Weight (MT),Water Depth (m),Platform Cost (Mil USD)
21,6930,67,262.1558
52,26378,59,1138.547
76,21300,70,1160.64
86,18800,77,989.52
20.83333,10459,80,100.3166
91.66667,43600,87,575.5729
91.66667,50367,108,576.1796
150,69004,108,787.3924
50,49193,108,669.3331
25,11879,85,259.524
84.31085792,11587.06023,,357.4999237
168.6216991,11771.96006,,447.4999237
,13682.58795,,272.4998474
84.31085792,15100.15713,,397.5
26.02639914,15469.95681,,422.4998474
26.02639914,15469.95681,,422.4998474
60.11730899,22311.25079,,607.5
108.1378267,23050.85014,,492.4999237
108.1378267,24776.57819,,502.5
,28782.74509,,742.5
92.00880531,29830.50895,,992.4998474
92.00880531,31248.07249,,997.5
92.00880531,34083.20521,,997.5
82.11144438,34576.26956,,877.5
88.34310489,38212.63679,,1087.5
252.9325738,40308.16451,,962.4998474
